id,name,rank,observations_count,ancestry
60395,Branchiopoda,class,15312
51943,Chrysophyceae,class,797
53659,Xanthophyceae,class,2131
130225,Dinophyceae,class,2512
126608,Betaproteobacteria,class,1374
152110,Hexactinellida,class,890
774724,Conjugatophyceae,class,20349
121726,Trematoda,class,1103
152028,Arthoniomycetes,class,36547
152098,Heterotardigrada,class,280
54698,Sphagnopsida,class,58889
126918,Eurotatoria,class,8784
972929,Choanoflagellatea,class,243
117708,Tentaculata,class,6892
68095,Cubozoa,class,890
794017,Entomophthoromycetes,class,9459
48394,Gymnolaemata,class,21832
117868,Eurotiomycetes,class,22376
151882,Ginkgoopsida,class,28830
517587,Discosea,class,196
152875,Leptocardii,class,104
794035,Mucoromycetes,class,12311
1517206,Dinosauria,class,519
551701,Gordioida,class,991
55114,Zygomycetes,class,42
130023,Exobasidiomycetes,class,10979
152065,Litostomatea,class,1182
152067,Oligohymenophorea,class,8375
83243,Pauropoda,class,436
126705,Gammaproteobacteria,class,4144
48309,Merostomata,class,17588
83715,Saccharomycetes,class,408
122159,Rhynchonellata,class,948
151788,Charophyceae,class,7739
51018,Staurozoa,class,730
124901,Cryptophyceae,class,640
152048,Heterolobosea,class,49
152111,Homoscleromorpha,class,718
768624,Tubulinea,class,3243
1273102,Peronosporomycetes,class,5070
151986,Mollicutes,class,3817
551700,Hoplonemertea,class,1817
151984,Bacilli,class,299
525114,Strophomenata,class,36
152022,Synurophyceae,class,880
551611,Chromadorea,class,4760
152058,Colpodea,class,232
942252,Kinetoplastea,class,102
152035,Taphrinomycetes,class,12467
209067,Monogenea,class,75
423802,Acantharea,class,22
424296,Acantharia,class,13
551168,Graptolithoidea,class,15
128063,Stenolaemata,class,1444
151883,Gnetopsida,class,34472
152070,Prostomatea,class,685
49099,Myxini,class,190
152016,Eustigmatophyceae,class,163
152029,Laboulbeniomycetes,class,4439
152089,Halobacteria,class,43
152081,Andreaeopsida,class,1227
133972,Lingulata,class,171
1443445,Ceratiomyxomycetes,class,20149
152061,Heterotrichea,class,1876
348289,Globothalamea,class,1213
125610,Chytridiomycetes,class,37
246116,Sagittoidea,class,67
372764,Solenogastres,class,62
56254,Protosteliomycetes,class,6
151771,Bangiophyceae,class,3580
152037,Atractiellomycetes,class,5206
152069,Phyllopharyngea,class,999
334684,Imbricatea,class,686
60450,Holocephali,class,1170
83703,Alphaproteobacteria,class,9922
152021,Raphidophyceae,class,85
152056,Conoidasida,class,178
152082,Klebsormidiophyceae,class,444
465135,Prasinophyceae,class,5
550638,Caudofoveata,class,18
551699,Palaeonemertea,class,953
861340,Pilidiophora,class,1446
152015,Dictyochophyceae,class,73
496524,Pisces,class,4
1115004,Armophorea,class,107
85497,Sarcopterygii,class,225
152026,Glomeromycetes,class,113
152075,Compsopogonophyceae,class,671
714997,Placodermi,class,11
785242,Tetraphidopsida,class,1991
1273103,Saprolegniomycetes,class,174
51509,Nuda,class,1251
119001,Dictyosteliomycetes,class,16
151839,Rhombozoa,class,2
152042,Microbotryomycetes,class,1280
152047,Zoomastigophora,class,2
152063,Karyorelictea,class,208
152066,Nassophorea,class,84
326261,Glaucophyceae,class,43
348305,Tubothalamea,class,399
356590,Cyanidiophyceae,class,14
510535,Enoplea,class,557
551292,Cyclorhagida,class,5
551702,Nectonematoida,class,3
828871,Coccolithophyceae,class,75
1128034,Caudoviricetes,class,6
1135576,Zetaproteobacteria,class,2
1276134,Proteomyxidea,class,17
1464834,Noctilucophyceae,class,342
47663,Maxillopoda,class,1
144129,Cephalocarida,class,1
144130,Remipedia,class,10
151835,Myxozoa,class,7
152010,Labyrinthulea,class,51
152038,Classiculomycetes,class,2
152049,Perkinsea,class,1
152055,Phytomyxea,class,45
152057,Trypanosomatidae,class,109
152076,Rhodellophyceae,class,1
152079,Haplomitriopsida,class,186
152083,Mesostigmatophyceae,class,1
152090,Methanobacteria,class,2
152109,Palaeacanthocephala,class,33
372752,Trichomycetes,class,1
437853,Not assigned,class,3
473793,Ichthyostraca,class,309
481727,Sauropsida,class,1
550904,Porphyridiophyceae,class,6
568355,Rostroconchia,class,1
738220,Thecofilosea,class,41
1130283,Cristidiscoidea,class,30
1182089,Nodosariata,class,71
1276034,Vampyrellidea,class,56
1308224,Variosea,class,1
1464191,Coleochaetophyceae,class,82
47157,Lepidoptera,order,21073800
47167,Agaricales,order,4320728
47118,Araneae,order,4952773
47208,Coleoptera,order,7026076
47380,Polyporales,order,1426201
47822,Diptera,order,4383787
7251,Passeriformes,order,13325496
47162,Poales,order,4293201
20979,Anura,order,2069576
48011,Ephemeroptera,order,138163
47744,Hemiptera,order,4623265
48427,Boletales,order,667413
47201,Hymenoptera,order,6503940
47367,Opiliones,order,259001
62164,Trichoptera,order,171633
47375,Pinales,order,2031958
47734,Polydesmida,order,184717
81769,Blattodea,order,301659
47485,Stylommatophora,order,1187501
47754,Polypodiales,order,1685860
48112,Mantodea,order,409477
47651,Orthoptera,order,2156204
67858,Hypnales,order,373475
47198,Phasmida,order,135912
40268,Chiroptera,order,160169
48151,Lamiales,order,7159437
83187,Psocodea,order,65073
47218,Asparagales,order,5007820
41573,Carnivora,order,1163537
122235,Lithobiomorpha,order,44385
43698,Rodentia,order,1285758
39532,Testudines,order,810183
67662,Geophilomorpha,order,26379
47132,Rosales,order,5680587
48327,Lecanorales,order,1015204
47792,Odonata,order,3095578
47793,Dermaptera,order,108161
48147,Isopoda,order,329627
83201,Thysanoptera,order,20788
48717,Pezizales,order,275471
69968,Pucciniales,order,113700
47366,Caryophyllales,order,5108078
82535,Julida,order,74196
47628,Amphipoda,order,39648
47504,Plecoptera,order,62844
83224,Entomobryomorpha,order,64342
47729,Sapindales,order,2058164
71261,Accipitriformes,order,1537427
47853,Fagales,order,2091121
48318,Zingiberales,order,320769
47605,Asterales,order,11232613
152965,Symphypleona,order,24389
47532,Scleractinia,order,121705
67561,Charadriiformes,order,2596018
49073,Helotiales,order,132765
172373,Pseudoscorpiones,order,18377
461443,Archaeognatha,order,17063
48763,Neuroptera,order,299025
83740,Trombidiformes,order,88990
47186,Decapoda,order,732815
47797,Actiniaria,order,167858
117827,Corallinales,order,29477
129730,Poduromorpha,order,16528
48894,Scorpiones,order,113766
19350,Strigiformes,order,312305
48341,Russulales,order,705456
48530,Tremellales,order,73264
152870,Artiodactyla,order,1049573
47824,Solifugae,order,17136
52790,Mesostigmata,order,8210
48805,Xylariales,order,134070
47583,Ostreida,order,48704
332906,Cyatheales,order,53744
47123,Fabales,order,4955244
26718,Caudata,order,600821
68789,Laminariales,order,56498
48866,Arecales,order,389245
48700,Apiales,order,1850127
48232,Ranunculales,order,2927415
55484,Physarales,order,91902
49068,Balanomorpha,order,58831
47113,Nudibranchia,order,318054
56834,Embioptera,order,7393
48073,Alismatales,order,882036
48712,Peltigerales,order,159705
53763,Scolopendromorpha,order,62036
47181,Ericales,order,3025852
71275,Brassicales,order,1955371
2708,Columbiformes,order,1105973
51603,Spirobolida,order,70062
51672,Ixodida,order,77557
49216,Cypriniformes,order,192909
67877,Dicranales,order,126716
51820,Malpighiales,order,2963434
47363,Gentianales,order,2418808
43094,Lagomorpha,order,328078
6888,Anseriformes,order,2834173
26172,Squamata,order,3480396
18874,Psittaciformes,order,397002
48289,Neogastropoda,order,182973
52318,Polycladida,order,18731
49722,Amblypygi,order,13192
